tresc;autor;zrodlo;data_ostatniego_wyswietlenia
"Dla każdego, kto się boi, jest samotny albo nieszczęśliwy, stanowczo najlepszym środkiem jest wyjście na zewnątrz, gdzieś, gdzie jest się zupełnie sam na sam z niebem, naturą i Bogiem. Bo dopiero wtedy, tylko wtedy, czuje się, że wszystko jest tak, jak być powinno i że Bóg chce widzieć ludzi szczęśliwymi wśród prostej, ale pięknej natury. Jak długo to istnieje, a będzie na pewno zawsze istnieć, wiem, że we wszystkich okolicznościach, istnieje zawsze pociecha na każde zmartwienie. I wierzę mocno, że natura potrafi ukoić każde cierpienie.";Anna Frank;tekstualna.pl;
"Lepiej jest zapalić świecę, niż przeklinać ciemność.";Matka Teresa z Kalkuty;tekstualna.pl;
"Mistrzowie grają dotąd, aż grają dobrze.";Billie Jean King;tekstualna.pl;
"Czyń tylko to co podpowiada Ci serce.";Diana Spencer;tekstualna.pl;
"Jeśli zaproponują ci miejsce w statku kosmicznym, nie pytaj, co to za miejsce. Po prostu wsiadaj.";Sheryl Sandberg;tekstualna.pl;
"Rób to, co uważasz za stosowne. I tak zawsze znajdzie się ktoś, kto uważa inaczej…";Michelle Obama;tekstualna.pl;
"Najtrudniejsze jest zdecydowanie się na działanie. Reszta to już tylko kwestia wytrwałości.";Amelia Earhart;tekstualna.pl;
"Być może urodziłaś się bez skrzydeł. Ale najważniejsze, żebyś nie przeszkadzała im wyrosnąć.";Coco Chanel;tekstualna.pl;
"Zawsze robiłam coś do czego nie byłam w pełni przygotowana. Myślę, że właśnie tak rośniesz.";Marissa Mayer;tekstualna.pl;
"Przyszedł ten dzień, kiedy ryzyko trwania w pąku było bardziej bolesne niż ryzyko zakwitnięcia.";Anais Nin;tekstualna.pl;
"Kiedyś – nie ma takiego dnia tygodnia.";Janet Dailey;tekstualna.pl;
"Wznoś się po każdym upadku, padniesz trupem albo urosną Ci skrzydła.";Maria von Ebner-Eschenbach;tekstualna.pl;
"W życiu nie zawsze wygrywają najmądrzejsi, najpiękniejsi i najbardziej przebojowi. Wygrywają ci, którzy postanawiają wygrać.";Kamila Rowińska;tekstualna.pl;
"Dawać bez wahania, tracić bez żalu i zdobywać bez chciwości…";George Sand;tekstualna.pl;
"Nigdy nie marnuj czasu, próbując wytłumaczyć kim jesteś ludziom, którzy postanowili Cię nie zrozumieć.";Dream Hampton;tekstualna.pl;
"Dawanie otwiera drogę do otrzymywania.";Florence Scovel Shinn;tekstualna.pl;
"Nauczyłam się, że droga postępu nie jest ani szybka, ani łatwa.";Maria Skłodowska-Curie;tekstualna.pl;
"W życiu nie chodzi o czekanie aż burza minie. Chodzi o to, by nauczyć się tańczyć w deszczu.";Vivian Green;tekstualna.pl;
"Jeśli chcesz dobrze dla swoich dzieci, to spędzaj z nimi dwa razy więcej czasu i wydawaj na nie dwa razy mniej pieniędzy.";Abigail Van Buren;tekstualna.pl;
"Zbyt często ludzie pracują ciężko nad niewłaściwą rzeczą. Pracować nad właściwą rzeczą jest prawdopodobnie ważniejsze niż pracować ciężko.";Caterina Fake;tekstualna.pl;
"Jeśli idziesz za swoim marzeniem, to będziesz testowany.";Kim Kiyosaki;tekstualna.pl;
"Ego mówi: gdy wszystko się ułoży, wówczas poczuję spokój. Duch mówi: znajdź swój spokój i wszystko się ułoży.";Marianne Williamson;tekstualna.pl;
"Kiedy ktoś przechodzi właśnie przez burzę, twoja cicha obecność jest potężniejsza niż milion pustych słów";Thema Davis;tekstualna.pl;
"Albo wygram albo zdechnę.";Justyna Kowalczyk;tekstualna.pl;
"Twoje poczucie własnej wartości zależy tylko od ciebie. Nie musisz pozwalać nikomu mówić ci, kim masz być.";Beyonce;tekstualna.pl;
